UserID|UserName|LoginTime|LogoutTime
I103|Dr.Johnson|09-12-2025 17:43:59|09-12-2025 17:44:01
I103|Dr.Johnson|09-12-2025 17:45:37|09-12-2025 17:45:39
I104|Dr.Miller|09-12-2025 22:58:15|09-12-2025 22:58:27
I101|Dr.Brown|10-12-2025 06:31:39|10-12-2025 06:31:45
I103|Dr.Johnson|10-12-2025 19:39:21|10-12-2025 19:39:23
I103|Dr.Johnson|10-12-2025 23:06:46|10-12-2025 23:06:47
I103|Dr.Johnson|10-12-2025 23:45:17|10-12-2025 23:45:19
I103|Dr.Johnson|11-12-2025 15:21:29|11-12-2025 15:21:51
I103|Dr.Johnson|11-12-2025 15:24:14|11-12-2025 15:25:36
A103|Dr.John|11-12-2025 21:38:56|11-12-2025 21:39:00
I101|Dr.Brown|11-12-2025 21:39:43|11-12-2025 21:39:47
I103|Dr.John|13-12-2025 18:02:24|13-12-2025 18:02:27
I103|Dr.John|14-12-2025 01:06:03|14-12-2025 01:06:10
I102|Dr.Jerry|14-12-2025 17:38:03|14-12-2025 17:40:29
I104|Dr.Miller|14-12-2025 17:55:34|14-12-2025 18:00:25
A103|Dr.Johnson|14-12-2025 18:00:54|14-12-2025 18:05:37
A103|Dr.IZ|14-12-2025 19:12:32|14-12-2025 19:17:03
A103|Dr.IZ|14-12-2025 19:56:07|14-12-2025 19:56:29
I101|Dr.Brown|14-12-2025 21:31:39|14-12-2025 21:32:23
I104|Dr.Miller|14-12-2025 22:11:01|14-12-2025 22:22:36
