StudentID|CourseID|ComponentName|Mark|Status
S034|C104|Midterm Test|47|FAIL
S073|C123|Assignment 1|39|FAIL
S007|C105|Assignment 1|44|FAIL
S021|C126|Midterm Test|46|FAIL
S018|C122|Assignment 1|34|FAIL
S010|C113|Assignment 1|36|FAIL
S041|C119|Assignment 1|33|FAIL
S045|C127|Assignment 1|48|FAIL
S030|C107|Assignment 1|37|FAIL
S060|C106|Assignment 1|46|FAIL
S004|C108|Assignment 1|38|FAIL
S001|C113|Midterm Test|47|FAIL
S081|C113|Midterm Test|48|FAIL
S052|C122|Midterm Test|49|FAIL
S025|C118|Assignment 1|41|FAIL
S034|C103|Assignment 1|45|FAIL
S001|C101|Assignment 1|42|FAIL
S021|C101|Assignment 1|49|FAIL
S010|C113|Midterm Test|41|FAIL
S018|C122|Midterm Test|39|FAIL
S030|C107|Midterm Test|48|FAIL
S052|C120|Assignment 1|40|FAIL
S073|C114|Assignment 1|60|PASS
S034|C103|Final Exam|64|PASS
S007|C105|Final Exam|58|PASS
S025|C113|Assignment 1|69|PASS
S041|C121|Midterm Test|70|PASS
S004|C122|Final Exam|70|PASS
S001|C101|Midterm Test|55|PASS
S030|C110|Final Exam|72|PASS
S060|C115|Final Exam|74|PASS
S018|C120|Midterm Test|57|PASS
S021|C101|Final Exam|66|PASS
S081|C126|Midterm Test|60|PASS
S052|C120|Midterm Test|58|PASS
S010|C109|Assignment 1|58|PASS
S034|C104|Final Exam|68|PASS
S073|C123|Midterm Test|51|PASS
S004|C108|Midterm Test|59|PASS
S013|C119|Midterm Test|51|PASS
S030|C110|Midterm Test|63|PASS
S060|C106|Midterm Test|53|PASS
S018|C120|Assignment 1|63|PASS
S041|C121|Assignment 1|62|PASS
S073|C114|Final Exam|71|PASS
S025|C113|Final Exam|81|PASS
S081|C113|Final Exam|70|FAIL
S045|C127|Final Exam|63|PASS
S010|C113|Final Exam|63|PASS
S052|C122|Final Exam|67|PASS
S007|C114|Midterm Test|73|PASS
S018|C122|Final Exam|55|PASS
S001|C113|Final Exam|72|PASS
S041|C119|Midterm Test|44|FAIL
S060|C106|Assignment 1|46|FAIL
S052|C122|Midterm Test|49|FAIL
S045|C127|Assignment 1|48|FAIL
S001|C113|Midterm Test|47|FAIL
S004|C122|Midterm Test|49|FAIL
S073|C123|Assignment 1|39|FAIL
S018|C122|Assignment 1|34|FAIL
S021|C126|Assignment 1|58|PASS
S013|C108|Midterm Test|72|PASS
S041|C119|Final Exam|58|PASS
S045|C127|Midterm Test|55|PASS
S007|C105|Midterm Test|52|PASS
S025|C118|Final Exam|59|PASS
S073|C114|Assignment 1|60|PASS
S052|C120|Final Exam|60|PASS
S010|C109|Midterm Test|62|PASS
S034|C103|Midterm Test|52|PASS
S013|C119|Assignment 1|46|FAIL
S030|C107|Final Exam|61|PASS
S034|C104|Assignment 1|59|PASS
S060|C115|Assignment 1|57|PASS
S081|C126|Assignment 1|44|FAIL
S052|C120|Assignment 1|40|FAIL
S060|C115|Midterm Test|61|PASS
S007|C114|Final Exam|81|PASS
S021|C126|Final Exam|62|PASS
S004|C108|Final Exam|64|PASS
S025|C118|Midterm Test|55|PASS
S013|C108|Final Exam|79|PASS
S001|C101|Final Exam|68|PASS
S073|C123|Final Exam|65|PASS
S041|C121|Final Exam|73|PASS
S010|C113|Assignment 1|36|FAIL
S034|C104|Midterm Test|47|FAIL
S052|C122|Assignment 1|51|PASS
S030|C110|Assignment 1|56|PASS
S004|C122|Assignment 1|53|PASS
S007|C105|Assignment 1|44|FAIL
S013|C119|Assignment 1|46|FAIL
S001|C113|Assignment 1|61|PASS
S081|C113|Assignment 1|55|PASS
S060|C106|Final Exam|69|PASS
S030|C110|Midterm Test|63|PASS
S025|C113|Midterm Test|74|PASS
S073|C114|Midterm Test|56|PASS
