StudentID|CourseID|GPA
S001|C101|3.3
S001|C114|2.7
S001|C121|3.0
S001|C123|3.7
S002|C108|3.0
S002|C127|3.7
S002|C107|3.0
S002|C110|2.7
S003|C122|3.3
S003|C124|2.7
S003|C101|3.0
S003|C113|3.7
S004|C119|3.0
S004|C107|3.7
S004|C108|2.7
S004|C116|3.0
S005|C113|3.3
S005|C122|2.7
S005|C123|3.0
S005|C120|3.7
S006|C101|3.0
S006|C114|3.7
S006|C116|3.0
S006|C126|2.7
S007|C119|0.0
S007|C107|0.0
S007|C108|1.7
S007|C116|0.0
S008|C101|3.7
S008|C114|3.0
S008|C116|2.7
S008|C126|3.0
S009|C104|3.0
S009|C119|3.7
S009|C122|2.7
S009|C102|3.0
S010|C101|3.3
S010|C114|2.7
S010|C121|3.0
S010|C123|3.7
S011|C101|1.7
S011|C114|0.0
S011|C116|1.7
S011|C126|1.7
S012|C101|3.0
S012|C114|3.7
S012|C116|3.0
S012|C126|2.7
S013|C101|3.0
S013|C114|3.7
S013|C116|3.0
S013|C126|2.7
S014|C104|3.3
S014|C124|2.7
S014|C111|3.0
S014|C107|3.7
S015|C101|3.0
S015|C114|3.7
S015|C116|3.0
S015|C126|2.7
S016|C127|3.3
S016|C107|2.7
S016|C119|3.0
S016|C108|3.7
S017|C119|3.0
S017|C107|3.7
S017|C108|2.7
S017|C116|3.0
S018|C122|3.3
S018|C124|2.7
S018|C101|3.0
S018|C113|3.7
S019|C127|3.3
S019|C107|2.7
S019|C119|3.0
S019|C108|3.7
S020|C103|3.0
S020|C122|3.7
S020|C104|3.0
S020|C115|2.7
S021|C127|0.0
S021|C107|0.0
S021|C119|1.7
S021|C108|0.0
S022|C122|3.3
S022|C124|2.7
S022|C101|3.0
S022|C113|3.7
S023|C101|3.0
S023|C114|3.7
S023|C116|3.0
S023|C126|2.7
S024|C104|3.0
S024|C119|3.7
S024|C122|2.7
S024|C102|3.0
S025|C113|3.3
S025|C122|2.7
S025|C123|3.0
S025|C120|3.7
S026|C101|3.0
S026|C114|3.7
S026|C116|3.0
S026|C126|2.7
S027|C122|3.3
S027|C124|2.7
S027|C101|3.0
S027|C113|3.7
S028|C122|0.0
S028|C124|0.0
S028|C101|3.0
S028|C113|3.7
S029|C108|3.0
S029|C127|3.7
S029|C107|3.0
S029|C110|2.7
S030|C119|3.0
S030|C107|3.7
S030|C108|2.7
S030|C116|3.0
S031|C119|3.0
S031|C107|3.7
S031|C108|2.7
S031|C116|3.0
S032|C127|3.3
S032|C107|2.7
S032|C119|3.0
S032|C108|3.7
S033|C104|3.3
S033|C124|2.7
S033|C111|3.0
S033|C107|3.7
S034|C122|3.3
S034|C124|2.7
S034|C101|3.0
R034|C113|3.7
S035|C101|3.0
S035|C114|3.7
S035|C116|3.0
S035|C126|2.7
S036|C127|3.3
S036|C107|2.7
S036|C119|3.0
S036|C108|3.7
S037|C101|3.3
S037|C114|2.7
S037|C121|3.0
S037|C123|3.7
S038|C119|3.0
S038|C107|3.7
S038|C108|2.7
S038|C116|3.0
S039|C119|3.0
S039|C107|3.7
S039|C108|2.7
S039|C116|3.0
S040|C103|3.0
S040|C122|3.7
S040|C104|3.0
S040|C115|2.7
S041|C104|3.0
S041|C119|3.7
S041|C122|2.7
S041|C102|3.0
S042|C108|3.0
S042|C127|3.7
S042|C107|3.0
S042|C110|2.7
S043|C104|3.3
S043|C124|2.7
S043|C111|3.0
S043|C107|3.7
S044|C104|3.3
S044|C124|2.7
S044|C111|3.0
S044|C107|3.7
S045|C104|3.3
S045|C124|2.7
S045|C111|3.0
S045|C107|3.7
S046|C113|1.7
S046|C122|1.0
S046|C123|1.7
S046|C120|1.0
S047|C104|3.0
S047|C119|3.7
S047|C122|2.7
S047|C102|3.0
S048|C113|3.3
S048|C122|2.7
S048|C123|3.0
S048|C120|3.7
S049|C104|3.0
S049|C119|3.7
S049|C122|2.7
S049|C102|3.0
S050|C104|3.3
S050|C124|2.7
S050|C111|3.0
S050|C107|3.7
S051|C101|3.0
S051|C114|3.7
S051|C116|3.0
S051|C126|2.7
S052|C113|3.3
S052|C122|2.7
S052|C123|3.0
S052|C120|3.7
S053|C113|3.3
S053|C122|2.7
S053|C123|3.0
S053|C120|3.7
S054|C127|3.3
S054|C107|2.7
S054|C119|3.0
S054|C108|3.7
S055|C122|3.3
S055|C124|2.7
S055|C101|3.0
S055|C113|3.7
S056|C104|3.0
S056|C119|3.7
S056|C122|2.7
S056|C102|3.0
S057|C113|3.3
S057|C122|2.7
S057|C123|3.0
S057|C120|3.7
S058|C108|3.0
S058|C127|3.7
S058|C107|3.0
S058|C110|2.7
S059|C104|3.0
S059|C119|3.7
S059|C122|2.7
S059|C102|3.0
S060|C104|3.0
S060|C119|3.7
S060|C122|2.7
S060|C102|3.0
S061|C119|3.0
S061|C107|3.7
S061|C108|2.7
S061|C116|3.0
S062|C108|3.0
S062|C127|3.7
S062|C107|3.0
S062|C110|2.7
S063|C104|1.0
S063|C124|1.0
S063|C111|1.0
S063|C107|1.0
S064|C101|3.0
S064|C114|3.7
S064|C116|3.0
S064|C126|2.7
S065|C119|3.0
S065|C107|3.7
S065|C108|2.7
S065|C116|3.0
S066|C104|3.3
S066|C124|2.7
S066|C111|3.0
S066|C107|3.7
S067|C113|3.3
S067|C122|2.7
S067|C123|3.0
S067|C120|3.7
S068|C108|3.0
S068|C127|3.7
S068|C107|3.0
S068|C110|2.7
S069|C119|3.0
S069|C107|3.7
S069|C108|2.7
S069|C116|3.0
S070|C104|3.0
S070|C119|3.7
S070|C122|2.7
S070|C102|3.0
S071|C103|3.0
S071|C122|3.7
S071|C104|3.0
S071|C115|2.7
S072|C103|3.0
S072|C122|3.7
S072|C104|3.0
S072|C115|2.7
S073|C101|0.0
S073|C114|0.0
S073|C121|0.0
S073|C123|0.0
S074|C104|3.3
S074|C124|2.7
S074|C111|3.0
S074|C107|3.7
S075|C127|3.3
S075|C107|2.7
S075|C119|3.0
S075|C108|3.7
S076|C119|3.0
S076|C107|3.7
S076|C108|2.7
S076|C116|3.0
S077|C103|3.0
S077|C122|3.7
S077|C104|3.0
S077|C115|2.7
S078|C104|3.0
S078|C119|3.7
S078|C122|2.7
S078|C102|3.0
S079|C101|3.0
S079|C114|3.7
S079|C116|3.0
S079|C126|2.7
S080|C108|3.0
S080|C127|3.7
S080|C107|3.0
S080|C110|2.7
S081|C113|3.3
S081|C122|2.7
S081|C123|3.0
S081|C120|3.7
S082|C104|3.3
S082|C124|2.7
S082|C111|3.0
S082|C107|3.7
S083|C104|3.3
S083|C124|2.7
S083|C111|3.0
S083|C107|3.7
S084|C101|3.0
S084|C114|3.7
S084|C116|3.0
S084|C126|2.7
